Program ID,University,Program,Level,Language,Start Date,Tuition Covered,Accomodation covered?,Living Expense Covered?,Tuition fees to pay,Original Tuition fee,Accomodation to pay,Living expense to pay,School Logo
1,Shandong Water Conservancy Vocational College,Electronic Commerce (International Trade),Associate,English,"Oct,2024",Free,No,No,0,"4,400",2400/year,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1329.png
2,Zhejiang A & F University,Veterinary Medicine,Bachelor,English,"Sep,2024","7,800-8,800",No,No,"7,800-8,800","15,600-17,600",About 430-860/month,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
3,Zhejiang A & F University,Wood Science and Engineering,Bachelor,English,"Sep,2024","7,800-8,800",No,No,"7,800-8,800","15,600-17,600",About 430-860/month,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
4,Zhejiang A & F University,Urban and Rural Planning,Bachelor,English,"Sep,2024","7,800-8,800",No,No,"7,800-8,800","15,600-17,600",About 430-860/month,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
5,Zhejiang A & F University,Electronic and Information Engineering,Bachelor,English,"Sep,2024","7,800-8,800",No,No,"7,800-8,800","15,600-17,600",About 430-860/month,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
6,Zhejiang A & F University,Forestry,Bachelor,English,"Sep,2024","7,800-8,800",No,No,"7,800-8,800","15,600-17,600",About 430-860/month,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
7,Zhejiang A & F University,Civil Engineering,Bachelor,English,"Sep,2024","7,800-8,800",No,No,"7,800-8,800","15,600-17,600",About 430-860/month,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
8,Zhejiang A & F University,Computer Science and Technology,Bachelor,English,"Sep,2024","7,800-8,800",No,No,"7,800-8,800","15,600-17,600",About 430-860/month,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
9,Zhejiang A & F University,Digital Media Art,Bachelor,English,"Sep,2024","7,800-8,800",No,No,"7,800-8,800","15,600-17,600",About 430-860/month,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
10,Zhejiang A & F University,Mechanical Design-Manufacturing and Automation,Bachelor,English,"Sep,2024","7,800-8,800",No,No,"7,800-8,800","15,600-17,600",About 430-860/month,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
11,Zhejiang A & F University,Cross-Border Electronic Commerce,Bachelor,English,"Sep,2024","7,800-8,800",No,No,"7,800-8,800","15,600-17,600",About 430-860/month,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
12,Zhejiang A & F University,International Economics and Trade,Bachelor,English,"Sep,2024","7,800-8,800",No,No,"7,800-8,800","15,600-17,600",About 430-860/month,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
13,SIAS University,Musical Performance,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
14,SIAS University,Communication Engineering,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
15,SIAS University,Business Management,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
16,SIAS University,International Economy and Trade,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
17,SIAS University,Journalism,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
18,SIAS University,Advertising,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
19,SIAS University,Chinese Language and Culture,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
20,SIAS University,Japanese,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
21,SIAS University,Visual Communication Design,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
22,SIAS University,English,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
23,SIAS University,Architecture,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
24,SIAS University,Physical Education,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
25,SIAS University,Guidance and Management of Social Sports,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
26,SIAS University,Nursing,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
27,SIAS University,Law,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
28,SIAS University,Information Management and System,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
29,SIAS University,Software Engineering,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
30,SIAS University,Computer Science and Technology,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
31,SIAS University,Automation,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
32,SIAS University,Measurement and Control Technology and Instrumentation,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
33,SIAS University,Electronic Information Engineering,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
34,SIAS University,Tourism Management,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
35,SIAS University,Electonic Commerce,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
36,SIAS University,Logistics Management,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
37,SIAS University,Human Resource Management,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
38,SIAS University,Financial Management,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
39,SIAS University,Economic Statistics,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
40,SIAS University,Marketing,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
41,SIAS University,Accounting,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1333.png
42,SIAS University,Finance,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
